ID_REF	NC00007271	NC00007303	NC00007323	NC00007337	NC00007413	NC00007462	NC00007472	NC00007521	NC00007536	NC00007563	NC00007600	NC00007635	NC00007713	NC00007721	NC00007273	NC00007275	NC00007301	NC00007305	NC00007307	NC00007311	NC00007313	NC00007315	NC00007317	NC00007321	NC00007335	NC00007341	NC00007343	NC00007345	NC00007347	NC00007353	NC00007357	NC00007365	NC00007367	NC00007371	NC00007373	NC00007401	NC00007403	NC00007405	NC00007407	NC00007411	NC00007417	NC00007421	NC00007445	NC00007456	NC00007463	NC00007467	NC00007477	NC00007507	NC00007511	NC00007517	NC00007525	NC00007531	NC00007532	NC00007534	NC00007541	NC00007543	NC00007545	NC00007553	NC00007554	NC00007561	NC00007570	NC00007605	NC00007613	NC00007615	NC00007643	NC00007647	NC00007663	NC00007673	NC00007675	NC00007717	NC00007737	NC00007277	NC00007327	NC00007331	NC00007333	NC00007351	NC00007355	NC00007362	NC00007363	NC00007375	NC00007377	NC00007423	NC00007425	NC00007427	NC00007431	NC00007436	NC00007441	NC00007450	NC00007451	NC00007453	NC00007460	NC00007465	NC00007473	NC00007475	NC00007501	NC00007503	NC00007505	NC00007512	NC00007526	NC00007547	NC00007551	NC00007564	NC00007575	NC00007603	NC00007607	NC00007611	NC00007617	NC00007621	NC00007623	NC00007625	NC00007627	NC00007631	NC00007633	NC00007637	NC00007641	NC00007645	NC00007651	NC00007653	NC00007655	NC00007657	NC00007661	NC00007665	NC00007667	NC00007671	NC00007677	NC00007701	NC00007705	NC00007707	NC00007715	NC00007723	NC00007725	NC00007727	NC00007731	NC00007733	NC00007735	NC00007741
hsa-let-7f-1-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-let-7f-5p	10412.7666666667	9380.65	6907.55	326	53284.7261904762	11868.375	1271.5	3961.37619047619	171.5	3254.16666666667	2	6629.25	13671.8083333333	10327.6	15077.5	8297.81666666667	3605.33333333333	3522.73333333333	3460.95833333333	4179.70833333333	938.7	1587.33333333333	2256.66666666667	276.5	1765.16666666667	939.5	2209.3	1322.86666666667	12504.1333333333	6657.15	11332.775	2715.66666666667	4601.36666666667	3571.825	2572.81666666667	15340.8416666667	15073.5833333333	3010.93333333333	2847.2	16806.975	789.333333333333	3781.06666666667	370.5	3826.78333333333	2038.56666666667	7343.33333333333	255.166666666667	1293.56666666667	209.333333333333	33	2969.03333333333	5839.5	1647.2	1279.76666666667	1926.9	1233.33333333333	628.866666666667	2172.33333333333	2477.25833333333	7408.45833333333	37893.0083333333	3168.66666666667	295.5	783.366666666667	1904.86666666667	1515	51789.1666666667	690.833333333333	4653.51666666667	3921.83333333333	531.333333333333	5969	9392.63333333332	11096.1166666667	734	325	2152.5	804.433333333333	1373.56666666667	4498.23333333333	2111.2	2846.25	2191.7	4448.76666666667	425.366666666667	3132.16666666667	155.5	3191.36666666667	1925.03333333333	35090.7666666667	2371.58333333333	1452.66666666667	6318.8	3271.36666666667	2129.4	1392.16666666667	4108	2649.85833333333	882	4800.73333333333	19810.825	4019.03333333333	24109.3928571429	1451	1434.3	638.958333333333	274.25	905.333333333333	632.833333333333	3983.76666666667	844.5	404.75	692.833333333333	1604.96666666667	168758.716666667	55831.5761904762	727.166666666667	827.5	302.833333333333	2732.33333333333	21797.775	393.666666666667	592.366666666667	11250.3833333333	20135.8845238095	55714.1583333333	8530.8	1032.83333333333	5767.36666666667	1667.83333333333	3667.4	707.225	6048	4707.33333333333	2331.2	1058.03333333333
hsa-let-7f-2-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-let-7g-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	190	0	0	0	0	1	0	0	0	0	210	0	0	0	0	0	0	0	0	0	0
hsa-let-7g-5p	274.666666666667	88.9166666666667	352.416666666667	0	1167.05952380952	1879.7	147	4.22619047619048	34	114.166666666667	0	501.2	451	193.416666666667	278.666666666667	3.91666666666667	0.833333333333333	718.416666666667	0.5	1482.58333333333	2.25	1.58333333333333	0.666666666666667	333	0.166666666666667	0.166666666666667	391.5	0.166666666666667	2.83333333333333	395.45	293.183333333333	241	155.5	0.166666666666667	1.58333333333333	592.2	723.833333333333	4.45	1.75	851.033333333333	1.66666666666667	226.916666666667	65	260.833333333333	2.66666666666667	0.416666666666667	0.333333333333333	0.166666666666667	0.333333333333333	0	644.166666666667	231.166666666667	3.25	249.166666666667	216.916666666667	0.166666666666667	199.083333333333	201	81.2	155.083333333333	19540.4166666667	478	151	0.583333333333333	64.3333333333333	2	21668.3	1.5	159.166666666667	0	1.08333333333333	255.166666666667	154.083333333333	3.61666666666667	0.25	0	1049.91666666667	162.333333333333	76	2.91666666666667	148.833333333333	245.166666666667	271.583333333333	1145.2	0.916666666666667	2.25	0	1.08333333333333	0.5	14013.75	84.1666666666667	136.666666666667	0.833333333333333	158.5	107.333333333333	0.333333333333333	162.166666666667	2.5	0.5	174.25	10325.4166666667	336.666666666667	8398.09285714286	0	0.916666666666667	0.333333333333333	0.166666666666667	0.333333333333333	0.333333333333333	1189.83333333333	0.25	0.5	1.33333333333333	746.333333333333	74483.7833333333	27556.0095238095	0.916666666666667	0	1.33333333333333	197.333333333333	12675.65	295	0.166666666666667	4113	12246.7261904762	27165.9	3832.66666666667	0.333333333333333	2.58333333333333	0.916666666666667	4.66666666666667	0.75	3714.5	1.83333333333333	1198.5	1
hsa-let-7i-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-let-7i-5p	3665.5	3747	2542	149	6526.5	3169.5	551	234	74	505	0	828	3756.5	2095	2489.5	1676	935	1469	2312	3034	99	327	294	87	2726	0	771.5	104	7077	910	3102	1356	4508	805	518	3293.5	6280	1032	183	2697	1145	220	286	1892	425.5	1488	465	0	0	0	700	853	447	2428	293	235	394	342	105	1171	6828	2151	222	360	452	317	20079	245	1502	558	140	1318.5	2009	8728.5	415	0	589	184	257	883.5	491	348	750	2127.5	0	1876.5	0	518	574	14389	292	243	2898	1729	270	158	222	543	1357	677	7928.5	2760	8564.5	638	284	1	16	239	0	5998.5	1788	1	175	57	59694	22953	0	0	62	647	8223.5	540	0	4153	7851	22647.5	3459.5	112	1081	89	1350	374	2223.5	271	1972	297
hsa-miR-100-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	916	0	0	0	0	0	356	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-100-5p	3516	9518.5	1740	1141	9021.5	2369.5	709	1551.5	31	389	0	1875.5	8566.5	53942	3224.5	4682.5	5144	7563	14320.5	16874	1290	1066	979	88	2833	2225	4320	492	53490	1143	1323.5	4546	18203.5	1029	615	3621	147055	6013	378.5	5118.5	866	5492	378	17908	965	24897	0	569	81	0	6372	4711	1168.5	1806.5	1262	270	305.5	3218	720	11130	28859.5	4910	4041	1654	26835	390	36924	3772	3084	637	2387	40625.5	13829	9912	1163.5	856	3533	126.5	1849	7446	2011	2260	9835	4945.5	251	1145	90.5	17466	11467.5	21980.5	5593.5	3956	24834.5	3831	1711.5	3556	7288	3614	20450.5	8736	17481.5	1677	22098.5	726	1907	542.5	1657.5	1819	2572	2266	2717	159	1673	769	81971.5	48969.5	438.5	1103	3894	2966	18507.5	1122	6605.5	9239.5	14085	37599.5	8462.5	129	56040.5	422	2441.5	2120	4256.5	4957	7734	84
hsa-miR-101-3p	934.5	1721	1064	0	2573.5	294	0	189.5	17.5	82.5	0	612	2542.5	144	438.5	65	151.5	1176.5	412	303.5	69.5	0	0	0	749	82	1.5	0	1851	373.5	136.5	0	634	191.5	483	343.5	1682	90.5	87	1027	145.5	146.5	64	382.5	0	234	0	0.5	0	0	3	863	0	184	0	104.5	0	0	94	297.5	12588.5	2037.5	216	32.5	243.5	28	12845	165.5	327	224.5	150	208.5	537.5	1201	344.5	0	3	0	0.5	251.5	0	248	309.5	1063.5	0	287	72	134.5	0	10571.5	147	44.5	0	261	257.5	0	212	143	248.5	214.5	6111.5	495	7438	647.5	548.5	102	30.5	0	0	204.5	289.5	0	83	356.5	44413	15559.5	0	146	32.5	350.5	9085	0	0	2629.5	4558.5	14430	2814.5	53.5	284	108.5	141.5	113	1041.5	98	1015	0
hsa-miR-101-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	112	71	0	0	0	0	0	0	0	171	226	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-103a-3p	264	419.5	1730.33333333333	0.333333333333333	1331.66666666667	328.666666666666	30.3333333333333	232	0	0	0	217	500.333333333333	135.666666666667	411	90.6666666666667	121	1381.5	43.3333333333333	39.5	0.333333333333333	0	43.3333333333333	7	1945.66666666667	17.3333333333333	103.666666666667	59.5	974.666666666667	318.5	419.666666666666	38	762	3.66666666666667	0	379.5	1148.83333333333	155	0	644.500000000001	0	97.3333333333333	0	484.833333333333	54.3333333333333	72	0	35.3333333333333	32.6666666666667	0	377.5	816.666666666667	352.833333333333	471.333333333333	31	0	0	57.3333333333333	43	464.333333333333	6307.83333333333	2571	55.6666666666667	63	26	7.33333333333333	11513.6666666667	19.8333333333333	2.83333333333333	86.6666666666666	239.833333333333	44	147	375.166666666666	82	0	552.666666666667	23	48.3333333333334	181.5	0	0	208.833333333333	1313.33333333333	0	131.333333333333	0	0	63.6666666666667	8847.33333333334	68.3333333333333	1.33333333333333	244	33.3333333333333	5.83333333333333	112.666666666667	0	434	268.333333333333	115.166666666667	4107.33333333333	0	5069.33333333333	73	214.166666666667	0	53.1666666666667	36.6666666666667	0	384.166666666667	134	0	3	671.5	41862.1666666667	13990.5	35.3333333333333	0	16.6666666666667	36.6666666666667	8163.33333333333	0	0.5	3182	5496.08333333333	14357.3333333333	2306	2.5	35.8333333333333	12.6666666666667	2.33333333333333	16.3333333333333	1991.16666666667	0	973.833333333333	0.833333333333333
hsa-miR-105-5p	0	0	0	0	0	0	0	15.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	363.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-106a-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.333333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0	2.33333333333333	0	0	0	0	0	0	0	0	0	0	0	0.666666666666667	1.5	0	0	0	0	0.833333333333333	0	0	0.333333333333333	0	219.5	0.333333333333333	0	0	0	0	0	2.16666666666667	0	0	0
hsa-miR-106b-3p	108	462	0	0	576	0	0	1	0	159	0	210	0	0	0	0	0	0	349	990	0	0	0	0	351	0	372	0	337	0	221	71	488	0	0	0	279	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	612	0	0	1	0	0	969	0	0	0	0	0	0	262	0	0	347	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	223	0	0	0	0	158	1	320	0	0	42	65	0	201	0	1	31	236	1066	790	0	0	0	0	289	0	0	689	160	141	0	0	0	118	0	0	0	0	0	0
hsa-miR-106b-5p	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	228	0	187	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-107	264	372	1730.33333333333	0.333333333333333	1030.66666666667	328.666666666666	30.3333333333333	232	0	0	0	217	356.333333333333	135.666666666667	411	90.6666666666667	121	147	41.3333333333333	39	0.333333333333333	0	43.3333333333333	7	1945.66666666667	17.3333333333333	103.666666666667	0	976.666666666667	202	268.666666666666	38	472	3.66666666666667	0	379	816.333333333334	155	0	644.000000000001	0	246.333333333333	0	48.3333333333333	54.3333333333333	72	0	35.3333333333333	32.6666666666667	0	46	816.666666666667	39.3333333333333	1.33333333333333	31	0	0	57.3333333333333	43	123.333333333333	1012.33333333333	2013	55.6666666666667	1	26	7.33333333333333	2892.66666666667	19.3333333333333	1.33333333333333	86.6666666666666	30.3333333333333	44	76	374.666666666666	82	0	102.666666666667	23	48.3333333333334	0	0	0	127.333333333333	107.333333333333	0	319.333333333333	0	0	63.6666666666667	967.333333333333	68.3333333333333	1.33333333333333	244	33.3333333333333	5.33333333333333	112.666666666667	0	70	268.333333333333	64.6666666666667	965.333333333334	0	181.333333333333	73	213.666666666667	0	0.666666666666667	36.6666666666667	0	259.666666666667	134	0	3	187	6177.66666666666	1475	35.3333333333333	0	15.6666666666667	36.6666666666667	1295.33333333333	0	0	919.000000000001	485.833333333333	1428.33333333333	262	2	35.3333333333333	12.6666666666667	0.333333333333333	16.3333333333333	552.666666666667	0	34.3333333333333	0.333333333333333
